account_id,segment,industry,plan_core,addon_finance_active,months_since_finance_activation,invoices_issued_count,nf_issued_count,ap_bills_created,ar_bills_created,bank_reconciliations_run,auto_rules_configured,finance_users_active,logins_total,finance_module_sessions,finance_related_tickets,avg_resolution_time_finance_tickets_min,ticket_topic_top,finance_addon_churned,account_total_churned,nps_finance,mrr_finance,os,browser
ACC-10000,Mid-market,SaaS,Enterprise,false,13,6,4,3,4,3,0,2,8,4,1,24,Integração bancária,false,false,6,26.55,Windows,Firefox
ACC-10001,SMB,SaaS,Enterprise,false,15,5,0,2,3,2,0,2,10,3,3,38,Integração bancária,false,false,10,121.74,Windows,Firefox
ACC-10002,Mid-market,Serviços,Starter,false,13,5,1,2,5,4,0,3,9,7,1,29,Suporte geral,false,false,2,167.58,Windows,Chrome
ACC-10003,SMB,Serviços,Pro,false,5,5,2,3,7,3,1,1,10,3,4,40,Erro NF-e,false,false,1,170.21,Windows,Chrome
ACC-10004,SMB,Varejo,Enterprise,false,4,4,1,3,2,3,2,1,8,9,0,35,Integração bancária,false,false,8,110.32,Windows,Chrome
ACC-10005,Enterprise,SaaS,Starter,false,10,7,3,1,9,2,0,0,15,3,4,49,Integração bancária,false,false,4,74.96,Windows,Edge
ACC-10006,Mid-market,Serviços,Starter,false,12,6,3,5,4,3,0,4,8,3,1,17,Erro NF-e,false,false,8,158.84,Linux,Chrome
ACC-10007,SMB,Varejo,Starter,true,20,7,3,3,1,2,1,2,9,6,2,20,Erro NF-e,false,false,4,102.44,Windows,Chrome
ACC-10008,SMB,Varejo,Starter,true,22,7,2,1,4,3,1,1,9,6,2,26,Bug de fatura,false,false,4,122.95,Windows,Chrome
ACC-10009,Mid-market,Serviços,Starter,true,18,7,1,2,7,2,0,2,8,5,0,15,Erro NF-e,false,false,3,141.53,Windows,Chrome
ACC-10010,Mid-market,Varejo,Pro,true,20,5,5,1,4,1,0,2,10,1,1,14,Erro NF-e,false,false,10,74.65,Mac,Chrome
ACC-10011,Mid-market,SaaS,Starter,true,19,6,2,5,6,3,1,0,6,6,1,3,Integração bancária,false,false,1,59.36,Windows,Chrome
ACC-10012,SMB,Serviços,Enterprise,false,19,5,0,3,2,2,3,1,14,3,1,15,Integração bancária,false,false,2,61.22,Windows,Safari
ACC-10013,Mid-market,Indústria,Starter,false,19,3,3,6,9,2,0,2,6,3,1,5,Dúvida de configuração,true,false,8,88.71,Linux,Chrome
ACC-10014,Enterprise,Serviços,Starter,true,18,0,0,3,5,4,2,1,14,2,1,19,Suporte geral,false,false,2,98.42,Windows,Chrome
ACC-10015,SMB,Varejo,Starter,true,7,6,4,4,3,0,2,0,6,4,1,14,Integração bancária,true,false,3,99.80,Linux,Chrome
ACC-10016,SMB,SaaS,Pro,false,13,3,2,1,5,1,1,2,16,8,0,25,Integração bancária,false,false,1,123.68,Windows,Chrome
ACC-10017,Mid-market,Serviços,Pro,false,17,5,2,5,4,3,2,2,11,8,1,37,Dúvida de configuração,false,false,7,100.99,Mac,Edge
ACC-10018,SMB,Serviços,Starter,false,9,4,3,6,6,0,2,3,12,5,2,45,Erro NF-e,false,false,8,114.39,Windows,Chrome
ACC-10019,SMB,Varejo,Pro,true,23,4,3,2,3,3,3,1,6,6,1,35,Integração bancária,false,false,6,56.84,Linux,Edge
ACC-10020,SMB,SaaS,Pro,false,22,3,2,5,1,2,1,3,12,5,2,41,Integração bancária,false,false,10,144.63,Windows,Chrome
ACC-10021,SMB,Serviços,Starter,false,9,4,1,4,6,3,1,1,10,2,0,0,Integração bancária,false,false,1,147.41,Mac,Firefox
ACC-10022,Mid-market,Indústria,Starter,true,21,2,0,4,5,6,1,0,10,5,0,46,Bug de fatura,false,false,2,165.05,Windows,Chrome
ACC-10023,SMB,Serviços,Starter,false,4,4,3,5,5,2,0,3,6,2,1,21,Integração bancária,true,false,10,87.42,Windows,Chrome
ACC-10024,Mid-market,SaaS,Pro,true,23,4,3,2,8,2,0,2,7,6,1,29,Integração bancária,false,false,1,156.16,Linux,Firefox
ACC-10025,Enterprise,Serviços,Pro,true,19,5,2,3,3,4,3,4,11,4,4,33,Integração bancária,false,false,1,58.48,Windows,Chrome
ACC-10026,SMB,SaaS,Starter,true,14,5,4,5,7,1,0,3,15,3,0,17,Dúvida de configuração,false,true,6,92.94,Windows,Firefox
ACC-10027,Mid-market,Varejo,Pro,true,11,5,1,5,7,1,0,0,9,6,2,27,Bug de fatura,false,false,6,65.50,Windows,Safari
ACC-10028,SMB,SaaS,Starter,true,6,6,4,5,5,5,1,2,15,4,0,23,Erro NF-e,false,false,7,16.88,Windows,Firefox
ACC-10029,Enterprise,SaaS,Starter,false,4,4,1,4,5,4,0,2,5,9,0,38,Dúvida de configuração,false,false,3,107.92,Windows,Chrome
ACC-10030,SMB,Varejo,Starter,false,1,6,1,4,3,0,1,4,10,2,0,0,Bug de fatura,false,false,8,105.65,Windows,Firefox
ACC-10031,SMB,Serviços,Starter,true,22,6,3,4,7,2,0,0,9,9,3,36,Erro NF-e,false,false,2,78.70,Windows,Chrome
ACC-10032,Enterprise,SaaS,Starter,true,21,5,0,5,5,0,1,1,10,5,2,11,Erro NF-e,false,false,6,142.93,Windows,Chrome
ACC-10033,Mid-market,Varejo,Pro,true,22,4,1,2,4,0,2,2,12,4,1,36,Integração bancária,false,false,0,128.13,Mac,Firefox
ACC-10034,SMB,Indústria,Starter,false,22,5,3,7,2,1,2,1,21,6,2,35,Integração bancária,false,false,6,90.83,Windows,Chrome
ACC-10035,Enterprise,Varejo,Pro,true,21,5,2,5,3,3,2,0,8,4,1,24,Erro NF-e,true,false,3,156.08,Mac,Chrome
ACC-10036,SMB,SaaS,Pro,true,21,4,3,2,3,2,1,2,12,6,1,35,Erro NF-e,false,false,4,111.23,Mac,Chrome
ACC-10037,SMB,Serviços,Starter,false,22,5,2,3,3,1,1,1,14,5,0,34,Integração bancária,true,false,3,52.64,Windows,Chrome
ACC-10038,SMB,Serviços,Enterprise,false,13,6,3,4,7,0,0,0,16,7,1,50,Erro NF-e,false,false,4,103.73,Windows,Firefox
ACC-10039,Mid-market,Varejo,Starter,false,8,6,0,2,4,1,0,1,3,3,2,47,Integração bancária,false,false,5,68.26,Windows,Chrome
ACC-10040,SMB,Varejo,Starter,false,18,6,1,3,4,2,1,3,9,5,2,11,Dúvida de configuração,false,false,5,49.90,Windows,Edge
ACC-10041,Mid-market,Varejo,Pro,false,15,8,1,4,3,1,0,4,9,12,2,49,Dúvida de configuração,false,false,2,77.26,Windows,Firefox
ACC-10042,Mid-market,Varejo,Pro,false,6,2,2,0,7,2,0,0,8,7,0,26,Integração bancária,true,false,10,121.59,Linux,Chrome
ACC-10043,SMB,SaaS,Pro,false,1,2,2,3,5,2,0,2,11,6,2,29,Integração bancária,false,false,1,152.30,Windows,Chrome
ACC-10044,Mid-market,Varejo,Starter,false,13,11,4,4,1,2,0,1,9,6,0,28,Dúvida de configuração,false,true,2,114.64,Windows,Edge
ACC-10045,SMB,Serviços,Pro,false,0,3,0,0,5,2,0,2,8,7,0,21,Erro NF-e,false,false,8,124.04,Windows,Chrome
ACC-10046,Enterprise,Varejo,Starter,true,12,3,1,5,1,2,1,5,18,7,1,17,Dúvida de configuração,false,false,10,117.29,Windows,Chrome
ACC-10047,Mid-market,Varejo,Starter,false,21,5,2,3,4,1,1,3,12,7,1,0,Integração bancária,false,false,10,75.96,Linux,Edge
ACC-10048,SMB,Varejo,Pro,false,12,7,2,2,4,1,1,1,10,7,0,45,Erro NF-e,false,false,0,118.69,Mac,Chrome
ACC-10049,SMB,SaaS,Starter,false,14,6,8,1,3,1,0,2,10,7,0,34,Suporte geral,false,true,10,96.42,Mac,Firefox
ACC-10050,Mid-market,Serviços,Starter,false,21,2,4,4,2,3,0,3,11,4,2,13,Erro NF-e,false,false,1,41.38,Windows,Chrome
ACC-10051,Mid-market,Serviços,Enterprise,false,0,5,1,1,3,2,1,6,13,5,2,17,Integração bancária,false,false,6,79.20,Windows,Chrome
ACC-10052,SMB,Varejo,Enterprise,true,8,8,1,3,1,3,1,1,2,4,4,14,Integração bancária,true,true,1,50.30,Windows,Chrome
ACC-10053,Mid-market,Indústria,Starter,false,19,3,2,3,2,3,2,3,5,9,1,44,Dúvida de configuração,false,false,9,134.76,Windows,Edge
ACC-10054,Mid-market,SaaS,Pro,false,3,6,4,4,2,4,1,2,8,3,1,37,Integração bancária,false,false,8,189.33,Windows,Safari
ACC-10055,Mid-market,SaaS,Pro,false,9,8,2,1,2,2,0,5,11,2,2,31,Suporte geral,false,false,0,154.18,Mac,Firefox
ACC-10056,SMB,Serviços,Pro,false,0,6,2,5,6,3,1,1,10,7,0,33,Dúvida de configuração,true,false,6,36.12,Windows,Chrome
ACC-10057,Enterprise,Serviços,Starter,false,4,2,0,2,3,0,2,1,12,4,1,24,Dúvida de configuração,false,false,10,162.57,Windows,Edge
ACC-10058,SMB,SaaS,Pro,false,10,12,2,5,0,0,1,3,9,4,0,33,Dúvida de configuração,false,false,7,96.02,Windows,Firefox
ACC-10059,Mid-market,Serviços,Starter,true,10,7,1,6,2,2,1,2,14,9,0,32,Integração bancária,false,false,6,124.32,Windows,Firefox
ACC-10060,SMB,Serviços,Enterprise,false,7,1,4,1,1,2,3,0,6,7,1,15,Integração bancária,false,false,8,15.58,Windows,Chrome
ACC-10061,SMB,Varejo,Pro,false,12,2,4,1,2,0,0,2,8,6,0,63,Erro NF-e,false,false,2,97.47,Mac,Chrome
ACC-10062,SMB,Varejo,Enterprise,true,2,7,2,2,1,2,1,2,14,4,1,29,Erro NF-e,true,false,4,124.63,Windows,Chrome
ACC-10063,Mid-market,Varejo,Starter,false,12,2,2,4,6,1,2,2,12,6,2,34,Erro NF-e,false,false,0,65.96,Windows,Chrome
ACC-10064,SMB,Indústria,Starter,false,16,8,0,0,4,3,0,4,8,3,1,42,Integração bancária,false,false,5,93.34,Windows,Firefox
ACC-10065,SMB,Serviços,Pro,false,16,7,1,2,2,3,0,1,8,5,3,14,Integração bancária,false,false,4,134.23,Windows,Edge
ACC-10066,SMB,Indústria,Enterprise,false,12,8,3,5,2,2,3,5,13,3,1,25,Dúvida de configuração,false,false,6,138.38,Windows,Chrome
ACC-10067,Mid-market,Serviços,Enterprise,false,6,7,1,7,2,2,2,2,6,1,2,47,Erro NF-e,false,false,6,162.27,Linux,Chrome
ACC-10068,SMB,Serviços,Starter,true,17,2,3,2,3,1,1,3,9,10,0,14,Dúvida de configuração,false,false,9,94.56,Windows,Chrome
